city,year,date,time,no2,pm10,pm25,datetime
Leeds,2017,04-11-2017,21:00:00,1.264001009,18.41300824,8.753984249,2017-11-04T21:00:00Z
Leeds,2017,04-11-2017,22:00:00,1.285854831,14.6657592,11.59107917,2017-11-04T22:00:00Z
Leeds,2017,04-11-2017,23:00:00,9.159337698,30.17673789,15.27018905,2017-11-04T23:00:00Z
Leeds,2017,05-11-2017,00:00:00,75.00304417,159.1979079,128.3473278,2017-11-05T00:00:00Z
Leeds,2017,05-11-2017,01:00:00,42.11931888,104.4968697,78.76711633,2017-11-05T01:00:00Z
Leeds,2017,05-11-2017,02:00:00,33.59567266,66.34116732,48.56418655,2017-11-05T02:00:00Z
Leeds,2017,05-11-2017,03:00:00,32.79524808,56.81893335,52.7314092,2017-11-05T03:00:00Z
Leeds,2017,05-11-2017,04:00:00,49.05944564,141.3766546,102.5939547,2017-11-05T04:00:00Z
Leeds,2017,05-11-2017,05:00:00,51.87898173,105.4737353,89.96546229,2017-11-05T05:00:00Z
Leeds,2017,05-11-2017,06:00:00,37.43723802,154.3575183,91.07768316,2017-11-05T06:00:00Z
Leeds,2017,05-11-2017,07:00:00,74.91882316,166.8421216,117.814942,2017-11-05T07:00:00Z
Leeds,2017,05-11-2017,08:00:00,51.33409513,138.2596814,96.54792285,2017-11-05T08:00:00Z
Leeds,2017,05-11-2017,09:00:00,32.57423645,72.0586901,54.50443132,2017-11-05T09:00:00Z
Leeds,2017,05-11-2017,10:00:00,66.86054637,184.4701897,144.3616997,2017-11-05T10:00:00Z
Leeds,2017,05-11-2017,11:00:00,34.23104152,108.8268682,79.26549779,2017-11-05T11:00:00Z
Leeds,2017,05-11-2017,12:00:00,21.40959362,66.12409024,54.92334635,2017-11-05T12:00:00Z
Leeds,2017,05-11-2017,13:00:00,44.54737318,121.1932397,100.7765266,2017-11-05T13:00:00Z
Leeds,2017,05-11-2017,14:00:00,91.94234423,196.9471557,141.5777355,2017-11-05T14:00:00Z
Leeds,2017,05-11-2017,15:00:00,30.70579692,125.574698,87.31068326,2017-11-05T15:00:00Z
Leeds,2017,05-11-2017,16:00:00,69.11756631,154.2353484,125.6418748,2017-11-05T16:00:00Z
Leeds,2017,05-11-2017,17:00:00,82.03991889,156.0793675,126.1649281,2017-11-05T17:00:00Z
Leeds,2017,05-11-2017,18:00:00,49.41517147,118.3584623,89.96351183,2017-11-05T18:00:00Z
Leeds,2017,05-11-2017,19:00:00,30.59457777,104.3694967,64.29888829,2017-11-05T19:00:00Z
Leeds,2017,05-11-2017,20:00:00,24.79803598,101.3111552,55.55467163,2017-11-05T20:00:00Z
Leeds,2017,05-11-2017,21:00:00,38.01886944,64.00165403,63.39916143,2017-11-05T21:00:00Z
Leeds,2017,05-11-2017,22:00:00,28.21762786,105.5753072,80.15418873,2017-11-05T22:00:00Z
Leeds,2017,05-11-2017,23:00:00,77.35399546,174.3710071,132.269641,2017-11-05T23:00:00Z
Leeds,2017,06-11-2017,00:00:00,1.055182906,6.60634228,17.06456567,2017-11-06T00:00:00Z
Leeds,2017,06-11-2017,01:00:00,10.08968794,17.57936676,10.47350656,2017-11-06T01:00:00Z
Leeds,2017,06-11-2017,02:00:00,0,0,7.117781271,2017-11-06T02:00:00Z
Leeds,2017,06-11-2017,03:00:00,6.487287162,0,0,2017-11-06T03:00:00Z
Leeds,2017,06-11-2017,04:00:00,12.0578438,48.7883371,25.30049433,2017-11-06T04:00:00Z
Leeds,2017,06-11-2017,05:00:00,6.164915467,22.13298786,10.57526117,2017-11-06T05:00:00Z
Leeds,2017,06-11-2017,06:00:00,16.29995839,21.15617656,16.47170256,2017-11-06T06:00:00Z
Leeds,2017,06-11-2017,07:00:00,0,16.35169003,0,2017-11-06T07:00:00Z
Leeds,2017,06-11-2017,08:00:00,0.783692174,2.365751774,12.0004003,2017-11-06T08:00:00Z
Leeds,2017,06-11-2017,09:00:00,0,5.029263736,5.246066055,2017-11-06T09:00:00Z
Leeds,2017,06-11-2017,10:00:00,1.547471629,46.57934555,17.89878911,2017-11-06T10:00:00Z
Leeds,2017,06-11-2017,11:00:00,5.216723508,21.53636788,22.90115399,2017-11-06T11:00:00Z
Leeds,2017,06-11-2017,12:00:00,0.697541378,19.72104756,11.62502758,2017-11-06T12:00:00Z
Leeds,2017,06-11-2017,13:00:00,0,3.27640434,5.368541449,2017-11-06T13:00:00Z
Leeds,2017,06-11-2017,14:00:00,15.07848362,29.38483581,27.15297532,2017-11-06T14:00:00Z
Leeds,2017,06-11-2017,15:00:00,4.725227217,2.261131919,7.144584391,2017-11-06T15:00:00Z
Leeds,2017,06-11-2017,16:00:00,7.548897328,10.85929849,1.937262189,2017-11-06T16:00:00Z
Leeds,2017,06-11-2017,17:00:00,9.646311298,17.09442092,12.91607453,2017-11-06T17:00:00Z
Leeds,2017,06-11-2017,18:00:00,4.371064887,25.49194717,6.234790066,2017-11-06T18:00:00Z
Leeds,2017,06-11-2017,19:00:00,2.138521192,17.26149878,15.17167108,2017-11-06T19:00:00Z
Leeds,2017,06-11-2017,20:00:00,16.28126156,21.81598952,10.00104042,2017-11-06T20:00:00Z
Leeds,2017,06-11-2017,21:00:00,11.93768439,5.676491415,11.47236544,2017-11-06T21:00:00Z
Leeds,2017,06-11-2017,22:00:00,4.661494158,11.66011943,8.878859452,2017-11-06T22:00:00Z
Leeds,2017,06-11-2017,23:00:00,19.86551037,33.47103002,23.92544872,2017-11-06T23:00:00Z
Leeds,2017,07-11-2017,00:00:00,23.56687746,18.78274207,18.13167905,2017-11-07T00:00:00Z
Leeds,2017,07-11-2017,01:00:00,11.54010422,5.215970652,18.93727854,2017-11-07T01:00:00Z
Leeds,2017,07-11-2017,02:00:00,14.85346465,27.01555042,20.38855757,2017-11-07T02:00:00Z
Leeds,2017,07-11-2017,03:00:00,2.882897615,16.06406617,13.19260887,2017-11-07T03:00:00Z
Leeds,2017,07-11-2017,04:00:00,17.26164747,32.00715437,30.5564198,2017-11-07T04:00:00Z
Leeds,2017,07-11-2017,05:00:00,0,30.37052671,17.74649735,2017-11-07T05:00:00Z
Leeds,2017,07-11-2017,06:00:00,17.04998287,41.84270195,40.63886318,2017-11-07T06:00:00Z
Leeds,2017,07-11-2017,07:00:00,11.20745686,41.72052632,40.56651997,2017-11-07T07:00:00Z
Leeds,2017,07-11-2017,08:00:00,2.062564962,0,3.013530232,2017-11-07T08:00:00Z
Leeds,2017,07-11-2017,09:00:00,12.18612159,38.28475954,22.88460299,2017-11-07T09:00:00Z
Leeds,2017,07-11-2017,10:00:00,10.82486694,5.097306783,13.8921292,2017-11-07T10:00:00Z
Leeds,2017,07-11-2017,11:00:00,0.966469563,2.211869607,13.53687436,2017-11-07T11:00:00Z
Leeds,2017,07-11-2017,12:00:00,0,0,0,2017-11-07T12:00:00Z
Leeds,2017,07-11-2017,13:00:00,7.245594267,2.023331057,5.784896605,2017-11-07T13:00:00Z
Leeds,2017,07-11-2017,14:00:00,5.118584574,0,0,2017-11-07T14:00:00Z
Leeds,2017,07-11-2017,15:00:00,4.751338791,16.78175702,10.57582997,2017-11-07T15:00:00Z
Leeds,2017,07-11-2017,16:00:00,5.928655213,0,10.46917326,2017-11-07T16:00:00Z
Leeds,2017,07-11-2017,17:00:00,0,0,3.550999767,2017-11-07T17:00:00Z
Leeds,2017,07-11-2017,18:00:00,3.956189582,7.234801882,1.496090281,2017-11-07T18:00:00Z
Leeds,2017,07-11-2017,19:00:00,6.007890952,33.15963941,14.95459744,2017-11-07T19:00:00Z
Leeds,2017,07-11-2017,20:00:00,12.23078406,26.55259488,15.64598587,2017-11-07T20:00:00Z
Leeds,2017,07-11-2017,21:00:00,4.726860222,25.45233833,8.725622506,2017-11-07T21:00:00Z
Leeds,2017,07-11-2017,22:00:00,4.541472185,9.315555674,13.57198893,2017-11-07T22:00:00Z
Leeds,2017,07-11-2017,23:00:00,0,0,17.33812909,2017-11-07T23:00:00Z
Leeds,2017,08-11-2017,00:00:00,9.311899743,24.65300423,11.3709244,2017-11-08T00:00:00Z
Leeds,2017,08-11-2017,01:00:00,9.858360807,10.71002944,18.1058283,2017-11-08T01:00:00Z
Leeds,2017,08-11-2017,02:00:00,0,24.97240412,7.543531187,2017-11-08T02:00:00Z
Leeds,2017,08-11-2017,03:00:00,16.94789556,32.31867531,12.34418249,2017-11-08T03:00:00Z
Leeds,2017,08-11-2017,04:00:00,8.069703869,34.48725969,15.21127418,2017-11-08T04:00:00Z
Leeds,2017,08-11-2017,05:00:00,3.163253021,21.89029688,18.76818519,2017-11-08T05:00:00Z
Leeds,2017,08-11-2017,06:00:00,4.829208803,27.96336959,14.26988352,2017-11-08T06:00:00Z
Leeds,2017,08-11-2017,07:00:00,11.07024492,42.01123649,25.11932954,2017-11-08T07:00:00Z
Leeds,2017,08-11-2017,08:00:00,0,10.641969,12.83548353,2017-11-08T08:00:00Z
Leeds,2017,08-11-2017,09:00:00,8.61492287,31.73134321,22.4423856,2017-11-08T09:00:00Z
Leeds,2017,08-11-2017,10:00:00,8.842835983,19.78558255,8.276180772,2017-11-08T10:00:00Z
Leeds,2017,08-11-2017,11:00:00,9.442401763,0.169836327,13.84954051,2017-11-08T11:00:00Z
Leeds,2017,08-11-2017,12:00:00,10.69812427,38.92571753,19.9687491,2017-11-08T12:00:00Z
Leeds,2017,08-11-2017,13:00:00,15.245247,23.70304114,11.1155888,2017-11-08T13:00:00Z
Leeds,2017,08-11-2017,14:00:00,14.93564216,17.31641113,10.1354932,2017-11-08T14:00:00Z
Leeds,2017,08-11-2017,15:00:00,8.76994202,0,0,2017-11-08T15:00:00Z
Leeds,2017,08-11-2017,16:00:00,19.77699703,51.69597248,34.02017341,2017-11-08T16:00:00Z
Leeds,2017,08-11-2017,17:00:00,1.099540284,0,5.978273389,2017-11-08T17:00:00Z
Leeds,2017,08-11-2017,18:00:00,12.92053836,19.98989359,14.91246067,2017-11-08T18:00:00Z
Leeds,2017,08-11-2017,19:00:00,7.491066114,26.34217637,20.70756071,2017-11-08T19:00:00Z
Leeds,2017,08-11-2017,20:00:00,15.00683013,31.80079246,19.22257699,2017-11-08T20:00:00Z
Leeds,2017,08-11-2017,21:00:00,19.01771501,15.36087439,21.39759755,2017-11-08T21:00:00Z
Leeds,2017,08-11-2017,22:00:00,16.29719316,0.305600609,15.11725144,2017-11-08T22:00:00Z
Leeds,2017,08-11-2017,23:00:00,13.46058035,27.14551955,23.00580281,2017-11-08T23:00:00Z
Leeds,2017,09-11-2017,00:00:00,20.276681,28.80603357,10.05774404,2017-11-09T00:00:00Z
Leeds,2017,09-11-2017,01:00:00,12.30105136,29.87132251,24.48093266,2017-11-09T01:00:00Z
Leeds,2017,09-11-2017,02:00:00,0.577600253,0,0,2017-11-09T02:00:00Z
Leeds,2017,09-11-2017,03:00:00,17.16381808,21.81333713,21.30302243,2017-11-09T03:00:00Z
Leeds,2017,09-11-2017,04:00:00,12.80517503,26.21478935,16.33108395,2017-11-09T04:00:00Z
Leeds,2017,09-11-2017,05:00:00,9.47087962,11.06843541,10.59234629,2017-11-09T05:00:00Z
Leeds,2017,09-11-2017,06:00:00,0,0,0,2017-11-09T06:00:00Z
Leeds,2017,09-11-2017,07:00:00,0.474813415,16.82508201,15.97900478,2017-11-09T07:00:00Z
Leeds,2017,09-11-2017,08:00:00,6.664137931,18.28955437,13.67106916,2017-11-09T08:00:00Z
Leeds,2017,09-11-2017,09:00:00,0.064837793,0,10.44545551,2017-11-09T09:00:00Z
Leeds,2017,09-11-2017,10:00:00,12.3521893,20.93707364,25.2910808,2017-11-09T10:00:00Z
Leeds,2017,09-11-2017,11:00:00,8.294790196,13.92289898,1.668830504,2017-11-09T11:00:00Z
Leeds,2017,09-11-2017,12:00:00,10.14457925,32.58222083,24.60803818,2017-11-09T12:00:00Z
Leeds,2017,09-11-2017,13:00:00,5.620022074,30.79299165,11.43325528,2017-11-09T13:00:00Z
Leeds,2017,09-11-2017,14:00:00,11.64794842,24.89934867,14.54944345,2017-11-09T14:00:00Z
Leeds,2017,09-11-2017,15:00:00,1.850639588,5.16819542,8.220060193,2017-11-09T15:00:00Z
